ID;Fornecedor;Série;Número;Parc.;Vencimento;CCL;ObservaçãoOriginal;PLACA TRATATIVA;OPERAÇÃO;TIPO DO VEÍCULO;OBSERVAÇÃO DEFINITIVA;DATA DEFINITIVA MULTA;DATA CRIPTOGRAFADA;Vlr. Total;Vlr. Baixa;Vlr. Saldo;Mês / Ano Venc.
387576;MUNICIPIO DE SOROCABA;N;1161298;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO;SFK5C35-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR,09/04/2025 13:14;SFK5C35;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR,;09/04/2025;45756;156,2;156,2;0;01/07/2025
387578;MUNICIPIO DE SOROCABA;C;2651791;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO;SES3D46-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGUL-05/02/2025 08:32;SES3D46;NÃO LOCALIZADA;;TRANSITAR EM LOC;05/02/2025;45693;132,89;132,89;0;01/07/2025
387585;MUNICIPIO DE SOROCABA;C;2658673;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO;SES3D46-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGUL-19/02/2025 09:02;SES3D46;NÃO LOCALIZADA;;TRANSITAR EM LOC;19/02/2025;45707;131,46;131,46;0;01/07/2025
387589;MUNICIPIO DE UMUARAMA;NIC;39881;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO;SEZ5F46-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR,28/01/2025 01:06;SEZ5F46;NÃO LOCALIZADA;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR,;28/01/2025;45685;592,8;592,8;0;01/07/2025
387597;MUNICIPIO DE GUARULHOS;J;430283860;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO;SFK5C35-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR,-29/01/2025 04:32;SFK5C35;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR,;29/01/2025;45686;268,75;268,75;0;01/07/2025
387626;DEPARTAMENTO DE ESTRADAS DE RODAGEM;N;552979;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO;CRX4E67-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-21/02/2025-08:18;CRX4E67;NÃO LOCALIZADA;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;21/02/2025;45709;208,26;208,26;0;01/07/2025
387629;DEPARTAMENTO DE ESTRADAS DE RODAGEM;N;550359;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO;CRX4E67-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-21/02/2025-09:35;CRX4E67;NÃO LOCALIZADA;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;21/02/2025;45709;131,46;131,46;0;01/07/2025
387631;MUNICIPIO DE JACAREI;I;912147;01/01/2025;18/07/2025;MULTAS DE TRÂNSITO;CRX4E67-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-17/03/2025-15:01;CRX4E67;NÃO LOCALIZADA;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;17/03/2025;45733;131,46;131,46;0;01/07/2025
388012;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;DT;5108;01/01/2025;21/07/2025;MULTAS DE TRÂNSITO;SEO2C30-DEIXAR DE ADENTRAR AS AREAS DESTINADAS A PESAGEM DE VEIC 25/04/2025 18:21;SEO2C30;JBS S/A - DIAMANTINO 02.916.265/0104-75;;DEIXAR DE ADENTRAR AS AREAS DESTINADAS A PESAGEM DE VEIC;25/04/2025;45772;156,18;156,18;0;01/07/2025
388040;MUNICIPIO DE NOVA ODESSA;R;339201;01/01/2025;21/07/2025;MULTAS DE TRÂNSITO;TAV9J68- TRANSITAR EM LOCAL NAO PERMITIDO PELA REGUL-01/04/2025 09:37;TAV9J68;ARCOR DO BRASIL LTDA 54.360.656/0030-89;;TRANSITAR EM LOCAL NAO PERMITIDO PELA REGUL;01/04/2025;45748;104,12;104,12;0;01/07/2025
388059;MUNICIPIO DE BRAGANCA PAULISTA;R;5612011;01/01/2025;22/07/2025;MULTAS DE TRÂNSITO;TAP1C31- TRANSITAR LOCAL/HORARIO NAO PERMITIDO-20/02/2025 17:24;TAP1C31;JBS SA - INDAIATUBA 02.916.265/0391-04;;TRANSITAR LOC;20/02/2025;45708;78,09;78,09;0;01/07/2025
388085;MUNICIPIO DE ARARAQUARA;I;430038412;01/01/2025;22/07/2025;MULTAS DE TRÂNSITO;BEH2A87- EVADIR-SE DA COBRNACA  PELO USO DE RODOVIAS NAO EFET PGTO-11/01/2025 13:42;BEH2A87;FORTUNCERES S A 298 52.168.923/0013-94;;EVADIRSE DA COBRNACA PELO USO DE RODOVIAS NAO EFET PGTO;11/01/2025;45668;199,32;199,32;0;01/07/2025
388110;MUNICIPIO DE TOLEDO;NIC;62006;01/01/2025;22/07/2025;MULTAS DE TRÂNSITO;RHA0H57-- Multa, por não identificação CONDUTOR-15/02/2025 01:33;RHA0H57;NÃO LOCALIZADA;;Multa, por não identificação CONDUTOR;15/02/2025;45703;262,92;262,92;0;01/07/2025
388114;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;NIC;909651;01/01/2025;22/07/2025;MULTAS DE TRÂNSITO;SES4H87-NAO IDENTIFICACAO DO CONDUTOR INFR-21/01/2025 01:23;SES4H87;NÃO LOCALIZADA;;NAO IDENTIFICACAO DO CONDUTOR INFR;21/01/2025;45678;394,36;394,36;0;01/07/2025
388127;SECRETARIA DE INFRA-ESTRUTURA;S;43511716;01/01/2025;22/07/2025;MULTAS DE TRÂNSITO;SFG0J37-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE-26/01/2025 15:49;SFG0J37;JBS S/A - GOIANIA 02.916.265/0005-93;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE;26/01/2025;45683;104,13;104,13;0;01/07/2025
388133;SECRETARIA DE INFRA-ESTRUTURA;R;3426003;01/01/2025;22/07/2025;MULTAS DE TRÂNSITO;SFG0J35-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE-29/01/2025 09:18;SFG0J35;JBS S/A - ITAPETINGA  02.916.265/0112-85;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE;29/01/2025;45686;131,46;131,46;0;01/07/2025
388135;MUNICIPIO DE BRAGANCA PAULISTA;R;5544451;01/01/2025;22/07/2025;MULTAS DE TRÂNSITO;TAP1C32-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA-04/02/2025 07:33;TAP1C32;JBS SA - INDAIATUBA 02.916.265/0391-04;;TRANSITAR EM LOC;04/02/2025;45692;131,46;131,46;0;01/07/2025
388139;MUNICIPIO DE BRAGANCA PAULISTA;R;5547181;01/01/2025;22/07/2025;MULTAS DE TRÂNSITO;TAP1C32-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA-04/02/2025 14:58;TAP1C32;JBS SA - INDAIATUBA 02.916.265/0391-04;;TRANSITAR EM LOC;04/02/2025;45692;131,46;131,46;0;01/07/2025
388688;MUNICIPIO DE TOLEDO;NIC;62039;01/01/2025;23/07/2025;MULTAS DE TRÂNSITO;TAS2E18-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-15/02/2025 01:33;TAS2E18;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;15/02/2025;45703;262,92;262,92;0;01/07/2025
388693;COMPANHIA DE ENGENHARIA DE TRAFEGO;6ZA;1233762;01/01/2025;23/07/2025;MULTAS DE TRÂNSITO;TAV9J68-TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA-31/03/2025 15:06;TAV9J68;ARCOR DO BRASIL LTDA 54.360.656/0030-89;;TRANSITAR EM LOC;31/03/2025;45747;131,46;131,46;0;01/07/2025
388734;COMPANHIA DE ENGENHARIA DE TRAFEGO;6ZA;1236037;01/01/2025;23/07/2025;MULTAS DE TRÂNSITO;FOI2D26-TRANSITAR EM LOCAL/HOR NAO PERMITIDO-02/04/2025 07:56;FOI2D26;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;TRANSITAR EM LOC;02/04/2025;45749;78,1;78,1;0;01/07/2025
388810;DEPARTAMENTO ESTADUAL DE TRANSITO;1AA;1597792;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;TAN8H61-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-16/01/2025 08:35;TAN8H61;LAR COOPERATIVA AGROINDUSTRIAL - MATELANDIA 77.752.293/0060-48;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;16/01/2025;45673;402,72;402,72;0;01/07/2025
388827;MUNICIPIO DE SOROCABA;N;1161884;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;TAP1C32-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-09/04/2025 13:32;TAP1C32;JBS SA - INDAIATUBA 02.916.265/0391-04;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;09/04/2025;45756;262,92;262,92;0;01/07/2025
388846;MUNICIPIO DE BRAGANCA PAULISTA;N;2000831;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;TAP1C32-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-07/03/2025 16:45;TAP1C32;JBS SA - INDAIATUBA 02.916.265/0391-04;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;07/03/2025;45723;262,92;262,92;0;01/07/2025
388866;MUNICIPIO DE BRAGANCA PAULISTA;N;2000761;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;TAP1C32-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-07/03/2025 16:45;TAP1C32;JBS SA - INDAIATUBA 02.916.265/0391-04;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;07/03/2025;45723;262,92;262,92;0;01/07/2025
388892;MUNICIPIO DE SOROCABA;N;1154891;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;TAS4F63-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-03/02/2025 08:15;TAS4F63;JBS SA - INDAIATUBA 02.916.265/0391-04;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;03/02/2025;45691;265,78;265,78;0;01/07/2025
388897;MUNICIPIO DE BRAGANCA PAULISTA;N;2001041;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;TAS4F63-MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR-07/03/2025 16:45;TAS4F63;JBS SA - INDAIATUBA 02.916.265/0391-04;;MULTA, POR NAO IDENTIFICACAO DO CONDUTOR INFRATOR;07/03/2025;45723;262,92;262,92;0;01/07/2025
388913;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1U;6870759;01/01/2025;24/07/2025;MULTAS DE TRÂNSITO;TAT6A53-TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA-20/03/2025 16:07;TAT6A53;LAR COOPERATIVA AGROINDUSTRIAL - MATELANDIA 77.752.293/0060-48;;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA;20/03/2025;45736;131,46;131,46;0;01/07/2025
